t,U_x,U_y,U_z,solver,dt
0.0222202,0.3321951,0.28526,0.2858592,interIsoFoam,0.00037469999999999865
0.0225949,0.3322732,0.2841672,0.2893006,interIsoFoam,0.0003747000000000021
0.0229696,0.3323466,0.283067,0.2923622,interIsoFoam,0.00037469999999999865
0.0233444,0.332416,0.2819582,0.2949514,interIsoFoam,0.0003748000000000015
0.0237194,0.3324662,0.2808446,0.2970402,interIsoFoam,0.00037500000000000033
0.0240944,0.3325014,0.2797279,0.2986756,interIsoFoam,0.00037499999999999686
0.0244694,0.3325266,0.2796209,0.299782,interIsoFoam,0.00037500000000000033
0.0248445,0.3325423,0.2795788,0.3003985,interIsoFoam,0.00037509999999999974
0.0252198,0.3325508,0.2795388,0.3005851,interIsoFoam,0.000375300000000002
0.0255951,0.332555,0.2794998,0.3003889,interIsoFoam,0.00037529999999999855
0.0259707,0.3325514,0.2794616,0.2998203,interIsoFoam,0.00037560000000000024
0.0263463,0.3325385,0.2794229,0.2989087,interIsoFoam,0.00037560000000000024
0.0267223,0.3325257,0.279384,0.2976536,interIsoFoam,0.00037600000000000133
0.0270982,0.3325047,0.2793438,0.2961001,interIsoFoam,0.00037589999999999846
0.0274744,0.3324805,0.2793063,0.2942765,interIsoFoam,0.00037620000000000015
0.0278506,0.332454,0.279267,0.2922009,interIsoFoam,0.00037620000000000015
0.0282271,0.3324254,0.2792275,0.2899199,interIsoFoam,0.00037650000000000183
0.0286036,0.3323891,0.2791891,0.2874859,interIsoFoam,0.00037649999999999836
0.0289805,0.33235,0.2791515,0.284952,interIsoFoam,0.00037689999999999946
0.0293573,0.3323066,0.2791142,0.283518,interIsoFoam,0.00037680000000000005
0.0297344,0.3322507,0.2790764,0.2837349,interIsoFoam,0.00037710000000000174
0.0301118,0.3321786,0.2790386,0.2839627,interIsoFoam,0.00037739999999999996
0.0304892,0.3320764,0.2789922,0.2841976,interIsoFoam,0.00037739999999999996
0.0308669,0.3319641,0.2789522,0.2844316,interIsoFoam,0.0003776999999999982
0.0312447,0.3318474,0.2789168,0.2846617,interIsoFoam,0.00037780000000000105
0.0316227,0.3317277,0.2788875,0.2848919,interIsoFoam,0.0003779999999999964
0.032001,0.3316071,0.2788615,0.2851178,interIsoFoam,0.000378300000000005
0.0323794,0.3314886,0.2788403,0.2853471,interIsoFoam,0.00037840000000000096
0.032758,0.331366,0.2788165,0.2855678,interIsoFoam,0.00037859999999999977
0.033137,0.3312436,0.2787826,0.2857966,interIsoFoam,0.0003789999999999974
0.0335162,0.3311109,0.278738,0.2860226,interIsoFoam,0.00037920000000000315
0.0338955,0.3309746,0.2786974,0.2862478,interIsoFoam,0.0003792999999999991
0.034275,0.3308308,0.2786729,0.2864647,interIsoFoam,0.0003794999999999979
0.0346549,0.3306827,0.2786587,0.286677,interIsoFoam,0.00037990000000000246
0.0350351,0.3305259,0.2786535,0.2868822,interIsoFoam,0.0003801999999999972
0.0354156,0.3303589,0.2786547,0.2870853,interIsoFoam,0.0003804999999999989
0.0357964,0.3301808,0.2786602,0.28728,interIsoFoam,0.0003808000000000006
0.0361772,0.3299933,0.2786079,0.2874882,interIsoFoam,0.0003808000000000006
0.0365583,0.3297993,0.2785697,0.2876973,interIsoFoam,0.00038110000000000227
0.0369397,0.3295675,0.2783938,0.2879673,interIsoFoam,0.000381399999999997
0.0373215,0.32933,0.2783438,0.2882214,interIsoFoam,0.0003818000000000016
0.0377036,0.3290867,0.2783337,0.2884574,interIsoFoam,0.00038209999999999633
0.0380856,0.3288362,0.2783556,0.2886738,interIsoFoam,0.0003820000000000004
0.038468,0.3285698,0.2784053,0.2888705,interIsoFoam,0.00038240000000000496
0.0388507,0.3282871,0.2784763,0.2890564,interIsoFoam,0.0003826999999999997
0.0392337,0.3279923,0.2785601,0.2892252,interIsoFoam,0.0003830000000000014
0.039617,0.3276791,0.2786445,0.2893846,interIsoFoam,0.00038329999999999614
0.0400007,0.3273525,0.2787201,0.2895199,interIsoFoam,0.0003837000000000007
0.040385,0.3270094,0.2787952,0.2896402,interIsoFoam,0.00038429999999999714
0.0407696,0.3266451,0.2788569,0.2897495,interIsoFoam,0.00038460000000000577
0.0411545,0.3262595,0.2789251,0.2898453,interIsoFoam,0.0003848999999999936
0.0415401,0.3258527,0.2789896,0.2899318,interIsoFoam,0.00038560000000000677
0.041926,0.3254219,0.2790506,0.2900017,interIsoFoam,0.0003858999999999946
0.0423126,0.3249662,0.2791083,0.2900604,interIsoFoam,0.00038660000000000083
0.0426998,0.3244839,0.2791636,0.2901068,interIsoFoam,0.0003872000000000042
0.0430874,0.3239727,0.2792214,0.2901348,interIsoFoam,0.0003875999999999949
0.0434756,0.3234292,0.2792909,0.290145,interIsoFoam,0.0003882000000000052
0.0438644,0.3228609,0.2793675,0.2901414,interIsoFoam,0.0003887999999999947
0.0442539,0.3222637,0.2794485,0.290113,interIsoFoam,0.00038950000000000096
0.0446445,0.3215835,0.279538,0.2900854,interIsoFoam,0.0003905999999999979
0.0450357,0.3207591,0.279636,0.2900418,interIsoFoam,0.00039120000000000127
0.0454275,0.3198901,0.2797422,0.2900229,interIsoFoam,0.00039180000000000464
0.0458204,0.3189827,0.2798531,0.2899846,interIsoFoam,0.00039289999999999464
0.046214,0.3180573,0.2799641,0.2899197,interIsoFoam,0.0003936000000000009
0.0466086,0.3171087,0.2800761,0.2898375,interIsoFoam,0.0003946000000000019
0.0470042,0.3161326,0.2801894,0.2897351,interIsoFoam,0.0003956000000000029
0.0474006,0.3151255,0.2803035,0.2896117,interIsoFoam,0.00039639999999999814
0.0477979,0.3140859,0.2804198,0.2894721,interIsoFoam,0.00039729999999999627
0.0481963,0.3130146,0.2805379,0.2893148,interIsoFoam,0.00039840000000000014
0.0485951,0.3119014,0.2806565,0.2891321,interIsoFoam,0.0003988000000000047
0.0489939,0.310753,0.2807745,0.2889219,interIsoFoam,0.00039879999999999777
0.0493923,0.3095646,0.2808917,0.2886897,interIsoFoam,0.00039840000000000014
0.0497907,0.3083356,0.281009,0.2884385,interIsoFoam,0.00039840000000000014
0.0501891,0.307062,0.2811267,0.2881685,interIsoFoam,0.00039840000000000014
0.0505872,0.305743,0.2812438,0.2878773,interIsoFoam,0.00039809999999999846
0.0509852,0.3043769,0.281361,0.2875701,interIsoFoam,0.0003980000000000025
0.051383,0.3029639,0.2814776,0.287244,interIsoFoam,0.00039779999999999677
